season,utcDate,matchday,homeTeam,awayTeam,homeScore,awayScore,winner
2023,2023-10-07T13:30:00Z,7,VfB Stuttgart,VfL Wolfsburg,3,1,HOME_TEAM
2023,2023-10-07T16:30:00Z,7,SV Werder Bremen,TSG 1899 Hoffenheim,2,3,AWAY_TEAM
2023,2023-10-08T13:30:00Z,7,Bayer 04 Leverkusen,1. FC Köln,3,0,HOME_TEAM
2023,2023-10-08T15:30:00Z,7,FC Bayern München,SC Freiburg,3,0,HOME_TEAM
2023,2023-10-08T17:30:00Z,7,Eintracht Frankfurt,1. FC Heidenheim 1846,2,0,HOME_TEAM
2023,2023-10-20T18:30:00Z,8,Borussia Dortmund,SV Werder Bremen,1,0,HOME_TEAM
2023,2023-10-21T13:30:00Z,8,TSG 1899 Hoffenheim,Eintracht Frankfurt,1,3,AWAY_TEAM
2023,2023-10-21T13:30:00Z,8,SV Darmstadt 98,RB Leipzig,1,3,AWAY_TEAM
2023,2023-10-21T13:30:00Z,8,1. FC Union Berlin,VfB Stuttgart,0,3,AWAY_TEAM
2023,2023-10-21T13:30:00Z,8,SC Freiburg,VfL Bochum 1848,2,1,HOME_TEAM
2023,2023-10-21T13:30:00Z,8,VfL Wolfsburg,Bayer 04 Leverkusen,1,2,AWAY_TEAM
2023,2023-10-21T16:30:00Z,8,1. FSV Mainz 05,FC Bayern München,1,3,AWAY_TEAM
2023,2023-10-22T13:30:00Z,8,1. FC Köln,Borussia Mönchengladbach,3,1,HOME_TEAM
2023,2023-10-22T15:30:00Z,8,1. FC Heidenheim 1846,FC Augsburg,2,5,AWAY_TEAM
2023,2023-10-27T18:30:00Z,9,VfL Bochum 1848,1. FSV Mainz 05,2,2,DRAW
2023,2023-10-28T13:30:00Z,9,FC Bayern München,SV Darmstadt 98,8,0,HOME_TEAM
2023,2023-10-28T13:30:00Z,9,Borussia Mönchengladbach,1. FC Heidenheim 1846,2,1,HOME_TEAM
2023,2023-10-28T13:30:00Z,9,SV Werder Bremen,1. FC Union Berlin,2,0,HOME_TEAM
2023,2023-10-28T13:30:00Z,9,FC Augsburg,VfL Wolfsburg,3,2,HOME_TEAM
2023,2023-10-28T13:30:00Z,9,VfB Stuttgart,TSG 1899 Hoffenheim,2,3,AWAY_TEAM
2023,2023-10-28T16:30:00Z,9,RB Leipzig,1. FC Köln,6,0,HOME_TEAM
2023,2023-10-29T14:30:00Z,9,Eintracht Frankfurt,Borussia Dortmund,3,3,DRAW
2023,2023-10-29T16:30:00Z,9,Bayer 04 Leverkusen,SC Freiburg,2,1,HOME_TEAM
2023,2023-11-03T19:30:00Z,10,SV Darmstadt 98,VfL Bochum 1848,1,2,AWAY_TEAM
2023,2023-11-04T14:30:00Z,10,1. FC Union Berlin,Eintracht Frankfurt,0,3,AWAY_TEAM
2023,2023-11-04T14:30:00Z,10,SC Freiburg,Borussia Mönchengladbach,3,3,DRAW
2023,2023-11-04T14:30:00Z,10,1. FSV Mainz 05,RB Leipzig,2,0,HOME_TEAM
2023,2023-11-04T14:30:00Z,10,1. FC Köln,FC Augsburg,1,1,DRAW
2023,2023-11-04T14:30:00Z,10,TSG 1899 Hoffenheim,Bayer 04 Leverkusen,2,3,AWAY_TEAM
2023,2023-11-04T17:30:00Z,10,Borussia Dortmund,FC Bayern München,0,4,AWAY_TEAM
2023,2023-11-05T14:30:00Z,10,VfL Wolfsburg,SV Werder Bremen,2,2,DRAW
2023,2023-11-05T16:30:00Z,10,1. FC Heidenheim 1846,VfB Stuttgart,2,0,HOME_TEAM
2023,2023-11-10T19:30:00Z,11,Borussia Mönchengladbach,VfL Wolfsburg,4,0,HOME_TEAM
2023,2023-11-11T14:30:00Z,11,FC Bayern München,1. FC Heidenheim 1846,4,2,HOME_TEAM
2023,2023-11-11T14:30:00Z,11,FC Augsburg,TSG 1899 Hoffenheim,1,1,DRAW
